sample_id,lot_id,tool_id,sequence,pr_tone,retained_pattern_source,nominal_cd_nm,exposure_dose_mj_cm2,normalized_dose_pct,focus_um,coat_thickness_nm,softbake_temp_c,peb_temp_c,develop_time_s,developer_concentration_pct,field_x,field_y,resist_line_cd_nm,cdu_3sigma_nm,ler_nm,scum_probability,pattern_collapse_probability,defect_probability,spec_pass
S00171,L0008,T01,171,NEGATIVE,EXPOSED,50.0,91.97071,117.911167,-0.031955,99.923893,97.885526,104.67753,55.433402,2.380032,-0.776328,0.327374,56.810364,2.377902,2.124296,0.028665,0.011327,0.029833,FAIL
S00046,L0002,T01,46,POSITIVE,UNEXPOSED,50.0,99.96967,99.96967,-0.032702,93.430128,95.099859,110.614005,41.378183,2.464886,-0.382875,0.340856,49.670643,2.410678,1.203916,0.263193,0.02039,0.036234,FAIL
S00585,L0029,T01,585,NEGATIVE,EXPOSED,50.0,81.401646,104.361085,-0.054852,106.327637,100.436557,103.450864,64.006606,2.374679,-0.204292,-0.712043,50.967475,2.687736,1.804896,0.026929,0.060107,0.036366,PASS
S00525,L0026,T01,525,POSITIVE,UNEXPOSED,50.0,109.723952,98.120843,-0.006577,107.854151,96.655122,110.377456,50.401156,2.42106,0.333929,0.813393,47.08198,2.880456,1.474033,0.02095,0.051574,0.034446,PASS
S00196,L0009,T01,196,POSITIVE,UNEXPOSED,50.0,103.230807,103.230807,-0.138233,91.402294,101.437277,108.73528,50.916843,2.390449,-0.141536,0.790101,48.912084,4.021625,1.590049,0.046984,0.043102,0.095541,FAIL
S00162,L0008,T02,162,POSITIVE,UNEXPOSED,50.0,96.381008,96.381008,0.048962,113.962666,96.200659,105.037578,49.709769,2.380875,0.582552,-0.199836,50.525982,2.687751,2.152994,0.305644,0.038374,0.086312,FAIL
S00377,L0018,T01,377,POSITIVE,UNEXPOSED,50.0,100.780637,100.780637,0.09159,104.224459,97.983691,112.390706,49.241852,2.290774,0.118074,-0.805076,49.762634,3.586678,1.416853,0.157756,0.011916,0.077233,FAIL
S00774,L0038,T01,774,NEGATIVE,EXPOSED,50.0,75.748553,97.113529,0.002378,86.65252,96.268071,108.541465,60.573492,2.414183,-0.262396,0.848316,46.199914,1.931067,1.841443,0.039824,0.042914,0.019705,FAIL
S00226,L0011,T02,226,NEGATIVE,EXPOSED,50.0,77.47118,99.322026,-0.059499,99.308773,98.41121,106.555015,48.433026,2.382951,0.287821,-0.367183,50.87387,3.175387,1.280943,0.050292,0.006713,0.038464,PASS
S00240,L0012,T02,240,NEGATIVE,EXPOSED,50.0,64.416097,82.58474,0.082533,89.876612,97.755861,107.070728,67.431731,2.336099,0.754328,-0.703316,40.82464,3.947811,2.085136,0.446855,0.122787,0.327531,FAIL
S00007,L0000,T01,7,NEGATIVE,EXPOSED,50.0,72.158877,92.511381,0.06036,103.919411,103.195275,109.110666,50.14124,2.425474,0.24004,0.695227,47.97477,2.477987,2.158602,0.16642,0.01019,0.047651,PASS
S00765,L0038,T03,765,POSITIVE,UNEXPOSED,50.0,95.568934,95.568934,-0.012323,112.426884,98.009009,113.166678,52.898201,2.4265,0.025885,-0.963411,54.356789,4.07979,1.717194,0.233416,0.039863,0.165965,FAIL
S00547,L0027,T02,547,POSITIVE,UNEXPOSED,50.0,89.866015,110.039898,-0.056657,115.783043,94.349657,110.66574,52.17465,2.384749,0.588949,-0.582016,49.235106,2.909529,1.300878,0.028736,0.062349,0.033729,PASS
S00637,L0031,T02,637,POSITIVE,UNEXPOSED,50.0,95.119496,95.119496,-0.065526,113.052042,100.366481,111.210492,39.896134,2.403482,0.321714,-0.248473,52.684758,3.016279,1.493209,0.713327,0.01877,0.205763,FAIL
S00674,L0033,T01,674,POSITIVE,UNEXPOSED,50.0,95.162765,95.162765,-0.057101,92.536066,99.154197,106.094478,44.210457,2.347656,-0.792831,0.622988,51.402533,3.166597,1.935696,0.390434,0.017376,0.131575,FAIL
S00200,L0010,T02,200,NEGATIVE,EXPOSED,50.0,78.720835,100.924147,0.032264,112.311897,97.24624,104.219304,51.137489,2.307931,-0.205645,-0.909988,51.64599,2.921712,1.275444,0.047432,0.045409,0.033937,PASS
S00449,L0022,T01,449,POSITIVE,UNEXPOSED,50.0,103.81021,103.81021,-0.069707,95.491992,96.903889,106.882187,46.910088,2.456816,-0.188951,0.781071,47.974474,3.491602,1.828257,0.043046,0.025461,0.06771,FAIL
S00564,L0028,T02,564,NEGATIVE,EXPOSED,50.0,80.457331,103.150425,0.124791,104.031453,100.695716,104.145716,49.668135,2.361345,0.896119,-0.071449,52.279632,4.19149,1.223415,0.02951,0.040427,0.086222,FAIL
S00512,L0025,T02,512,POSITIVE,UNEXPOSED,50.0,99.136971,99.136971,-0.047502,98.096081,97.056052,113.110764,47.352036,2.470123,-0.831761,0.171173,50.890608,3.113763,1.693489,0.163605,0.018009,0.063046,PASS
S00052,L0002,T02,52,POSITIVE,UNEXPOSED,50.0,93.146727,93.146727,0.002898,94.801591,99.153648,109.028311,53.689644,2.518489,0.525198,0.526233,51.117072,2.636044,1.337535,0.173515,0.031189,0.037691,PASS
S00154,L0007,T02,154,POSITIVE,UNEXPOSED,50.0,102.559581,102.559581,0.005051,99.081977,99.556169,110.754368,50.274051,2.392196,-0.547694,0.085778,49.711014,2.001606,1.388151,0.054427,0.001484,0.015382,PASS
S00410,L0020,T01,410,POSITIVE,UNEXPOSED,50.0,96.995745,96.995745,0.042498,114.253078,96.538716,111.507974,47.504465,2.312889,-0.356374,0.87678,51.611688,3.07384,1.17979,0.345459,0.028279,0.077246,FAIL
S00635,L0031,T01,635,NEGATIVE,EXPOSED,50.0,85.372519,109.451948,0.065289,112.864109,97.004636,101.972584,51.597978,2.436269,-0.476294,0.112617,53.076516,2.84677,1.831482,0.013886,0.025263,0.037295,FAIL
S00625,L0031,T01,625,POSITIVE,UNEXPOSED,50.0,85.44678,85.44678,0.06132,90.252107,98.327135,110.01628,40.440788,2.361186,-0.332326,-0.829316,55.979921,3.119819,1.7448,0.909096,0.0,0.349089,FAIL
S00274,L0013,T02,274,POSITIVE,UNEXPOSED,50.0,93.700902,93.700902,-0.019843,101.619028,95.194323,110.914586,41.013182,2.432846,-0.465194,-0.735894,53.943812,2.349825,1.341966,0.653479,0.007884,0.10019,FAIL
S00763,L0038,T01,763,POSITIVE,UNEXPOSED,50.0,114.141853,114.141853,0.144834,101.727742,96.184228,110.471493,42.574626,2.322548,0.25035,-0.007606,45.147553,3.756068,1.474753,0.0,0.008854,0.059856,FAIL
S00376,L0018,T02,376,POSITIVE,UNEXPOSED,50.0,98.2351395,88.010716,0.00799,105.339625,100.409154,110.462739,42.969202,2.412954,0.395608,0.933101,56.518315,2.481617,1.600608,0.824804,0.0,0.185301,FAIL
S00235,L0011,T02,235,POSITIVE,UNEXPOSED,50.0,109.343787,109.343787,0.049775,98.91813,93.309743,112.568138,49.109114,2.457167,0.976671,0.561988,49.311138,3.447359,1.635491,0.025513,0.021879,0.056036,FAIL
S00040,L0002,T01,40,NEGATIVE,EXPOSED,50.0,83.563151,107.132245,-0.067699,99.065935,102.192504,105.546175,50.190521,2.359,0.673815,0.01233,50.210879,2.939397,1.438797,0.020643,0.030127,0.033665,PASS
S00517,L0025,T01,517,POSITIVE,UNEXPOSED,50.0,105.68223,105.68223,-0.072517,101.775218,97.707926,109.000869,50.443176,2.356648,0.497352,-0.390964,47.002444,2.959621,1.597838,0.060017,0.057798,0.044236,PASS
S00455,L0022,T01,455,NEGATIVE,EXPOSED,50.0,72.50956,92.960974,-0.034578,93.302803,98.28902,106.273563,58.007491,2.345126,0.652004,-0.881994,45.364901,3.127497,1.618576,0.156573,0.037258,0.062982,FAIL
S00000,L0000,T01,0,NEGATIVE,EXPOSED,50.0,86.774791,111.249732,-0.058407,106.402392,95.537902,106.005994,60.022408,2.319366,0.829412,-0.368429,54.192898,2.958429,1.869118,0.0,0.038935,0.041488,FAIL
S00697,L0034,T02,697,POSITIVE,UNEXPOSED,50.0,102.283595,102.283595,0.023025,91.251628,102.013346,111.053937,45.233433,2.450027,0.392422,-0.473172,50.136355,3.094293,1.131726,0.104737,0.025952,0.040339,PASS
S00364,L0018,T01,364,NEGATIVE,EXPOSED,50.0,77.48166,99.335462,-0.010179,111.667913,98.694741,105.619217,54.396762,2.352629,0.709705,-0.116608,47.90159,1.987199,1.204638,0.06002,0.027255,0.014889,PASS
S00749,L0037,T01,749,NEGATIVE,EXPOSED,50.0,70.134183,89.915619,-0.127071,121.105841,95.834346,100.792681,54.947942,2.38345,0.737111,-0.775518,47.842452,4.914326,2.371878,0.412757,0.074259,0.510767,FAIL
S00646,L0032,T01,646,NEGATIVE,EXPOSED,50.0,79.122454,101.439043,0.069977,107.233018,103.562605,106.370611,63.211892,2.322337,-0.935241,-0.011465,50.214335,3.581426,1.574875,0.058783,0.082863,0.076009,FAIL
S00420,L0021,T02,420,POSITIVE,UNEXPOSED,50.0,99.90182,99.90182,0.108972,99.373888,95.355052,109.59329,57.693986,2.33304,0.693066,0.781347,49.695847,4.367116,1.2706,0.032295,0.052503,0.104571,FAIL
S00243,L0012,T03,243,POSITIVE,UNEXPOSED,50.0,95.378086,95.378086,0.155598,108.736429,94.609394,110.867627,48.813913,2.25703,0.405439,0.037083,53.656033,4.05924,1.392585,0.329584,0.036869,0.175272,FAIL
S00404,L0020,T02,404,POSITIVE,UNEXPOSED,50.0,96.4596,96.4596,0.091722,97.189206,101.421903,105.675579,47.645795,2.368927,0.041895,-0.608173,53.160125,3.453121,2.114089,0.341165,0.020498,0.15768,FAIL
S00421,L0021,T01,421,NEGATIVE,EXPOSED,50.0,80.623987,103.364086,-0.089584,103.313911,98.09385,101.781964,51.721246,2.339058,0.454328,0.154112,50.696954,3.470163,1.958619,0.041259,0.035599,0.072521,FAIL
S00782,L0039,T01,782,POSITIVE,UNEXPOSED,50.0,97.371495,97.371495,0.071639,102.14137,97.095877,107.678696,43.770687,2.40636,0.310324,0.001317,50.791954,2.768965,1.47695,0.355927,0.035239,0.073825,FAIL
S00504,L0025,T01,504,POSITIVE,UNEXPOSED,50.0,91.970291,91.970291,0.050489,93.065634,100.054561,105.058886,35.035829,2.404995,-0.280573,-0.064387,53.776471,2.803809,2.326557,0.824259,0.029944,0.324236,FAIL
S00760,L0038,T01,760,POSITIVE,UNEXPOSED,50.0,96.727135,96.727135,-0.079722,113.782384,99.162851,110.761108,56.021742,2.45543,0.804867,-0.001045,49.094408,3.37848,1.223159,0.12985,0.076332,0.064095,FAIL
S00332,L0016,T01,332,NEGATIVE,EXPOSED,50.0,77.309147,99.114291,0.039796,87.146497,98.312682,107.107716,51.144058,2.35915,0.702303,0.54729,47.176262,2.847238,1.576328,0.025396,0.021459,0.033307,PASS
S00733,L0036,T03,733,NEGATIVE,EXPOSED,50.0,74.772993,95.862811,0.007397,71.110952,93.878615,105.933841,56.570064,2.430834,-0.062639,0.093311,49.242536,1.987263,1.459339,0.068133,0.0,0.016344,PASS
S00229,L0011,T01,229,POSITIVE,UNEXPOSED,50.0,96.564216,96.564216,0.151928,107.502384,95.557859,112.462152,56.88854,2.332224,-0.845559,-0.809356,50.380143,5.070956,1.587494,0.083745,0.053837,0.103174,FAIL
S00567,L0028,T01,567,NEGATIVE,EXPOSED,50.0,77.274639,99.07005,-0.094055,97.280539,93.283229,106.786902,60.928622,2.338845,-0.680056,0.735498,48.937922,4.021731,1.802423,0.035385,0.051036,0.104937,FAIL
S00170,L0008,T01,170,NEGATIVE,EXPOSED,50.0,75.327751,96.574039,0.041407,98.788045,98.659312,103.588189,46.544858,2.382757,-0.807626,0.957693,49.830083,3.202221,1.237718,0.086462,0.014773,0.043176,FAIL
S00558,L0027,T03,558,POSITIVE,UNEXPOSED,50.0,99.079602,99.079602,0.064848,87.966399,94.887006,108.701551,51.570216,2.370858,0.551132,0.754291,53.405417,3.163148,1.045029,0.071143,0.016675,0.036415,FAIL
S00695,L0034,T01,695,POSITIVE,UNEXPOSED,50.0,100.084432,100.084432,0.02662,108.03316,99.034434,113.044815,42.922469,2.36162,0.685408,-0.378029,49.732776,2.535976,1.448021,0.338475,0.023366,0.056154,FAIL
S00108,L0005,T02,108,POSITIVE,UNEXPOSED,50.0,102.60603,102.60603,0.031211,106.377494,101.178958,109.74824,33.882618,2.316129,0.184547,0.224947,50.203056,1.883829,1.340833,0.520226,0.00519,0.048722,FAIL
S00102,L0005,T01,102,POSITIVE,UNEXPOSED,50.0,86.3342575,91.835069,-0.047845,84.885299,101.776786,107.628385,50.590022,2.301235,-0.390073,-0.749583,51.722405,3.410191,1.806167,0.256832,0.01367,0.105775,FAIL
S00110,L0005,T01,110,POSITIVE,UNEXPOSED,50.0,86.54181,86.54181,0.016573,109.099243,96.593016,112.258789,54.027464,2.334402,-0.785618,-0.897756,52.050646,2.563478,1.528989,0.562437,0.087091,0.122652,FAIL
S00676,L0033,T01,676,NEGATIVE,EXPOSED,50.0,84.0531,107.760384,0.088858,94.85354,96.618312,110.486062,51.499087,2.351217,0.367436,-0.238492,50.459544,3.306834,2.156926,0.0,0.003718,0.058768,FAIL
S00400,L0020,T02,400,NEGATIVE,EXPOSED,50.0,71.456141,91.610438,-0.032964,99.09542,97.257794,104.233202,58.525494,2.434362,-0.666032,0.284073,47.690598,2.603392,1.260168,0.263561,0.042471,0.046094,FAIL
S00411,L0020,T03,411,NEGATIVE,EXPOSED,50.0,84.073998,107.787177,0.014104,105.385268,102.541288,107.214886,47.645795,2.275821,-0.094161,-0.764638,55.444865,2.154386,1.727048,0.0,0.0,0.018006,FAIL
S00456,L0022,T02,456,NEGATIVE,EXPOSED,50.0,75.387629,96.650807,-0.071955,92.261277,99.861947,104.525952,53.329169,2.43908,0.028691,-0.711852,49.72813,3.079038,1.237735,0.10223,0.038158,0.04309,PASS
S00090,L0004,T03,90,NEGATIVE,EXPOSED,50.0,78.903389,101.158191,0.004555,107.157086,98.749388,104.693686,56.248205,2.426628,0.838241,-0.076583,53.821259,2.230026,1.133817,0.02108,0.039672,0.01626,FAIL
S00427,L0021,T01,427,NEGATIVE,EXPOSED,50.0,73.860012,94.692322,0.023417,103.002706,94.337172,103.912508,45.132979,2.347446,0.15599,0.599788,50.067237,2.056684,1.277047,0.169737,0.0,0.020751,PASS
S00104,L0005,T01,104,NEGATIVE,EXPOSED,50.0,73.881475,94.71984,-0.084069,96.497149,98.680949,106.841755,59.732036,2.422026,0.697364,-0.818926,47.927153,3.897174,1.725207,0.127554,0.058396,0.117596,FAIL
S00672,L0033,T03,672,NEGATIVE,EXPOSED,50.0,79.729302,102.217053,0.017535,111.601443,95.274343,101.6314,60.88009,2.401282,0.37136,0.607068,51.985932,2.115227,2.218086,0.066058,0.04667,0.030458,PASS
S00129,L0006,T01,129,POSITIVE,UNEXPOSED,50.0,100.397871,100.397871,0.070905,96.90302,101.468138,108.562468,49.9051,2.449145,0.660305,0.907127,48.087383,3.992242,1.4753,0.082206,0.009146,0.089306,FAIL
S00746,L0037,T01,746,POSITIVE,UNEXPOSED,50.0,101.317838,101.317838,0.010082,106.985449,97.736443,109.896563,45.424324,2.340992,0.03355,0.970203,48.595707,2.219035,1.445763,0.189049,0.026052,0.029193,PASS
S00700,L0035,T02,700,POSITIVE,UNEXPOSED,50.0,92.84972,92.84972,0.055678,91.603868,98.318665,112.617175,45.106668,2.419912,-0.219884,-0.679164,52.464108,3.311125,1.520098,0.439482,0.0,0.130228,FAIL
S00498,L0024,T01,498,NEGATIVE,EXPOSED,50.0,78.485245,100.622109,-0.00976,101.82337,101.39428,106.191108,61.380919,2.40518,0.56293,-0.912552,48.202157,2.81949,1.345103,0.044284,0.060819,0.033324,PASS
S00661,L0033,T02,661,POSITIVE,UNEXPOSED,50.0,105.4813,105.4813,0.060788,110.745355,99.088301,110.232177,44.552298,2.344416,0.885875,-0.469976,50.016691,3.710862,1.452959,0.128835,0.023983,0.08272,FAIL
S00568,L0028,T02,568,POSITIVE,UNEXPOSED,50.0,99.189515,99.189515,0.019798,115.370453,98.450907,110.243418,38.981749,2.286472,-0.976463,-0.150701,53.401102,2.680363,1.154633,0.59699,0.013623,0.103307,FAIL
S00529,L0026,T02,529,POSITIVE,UNEXPOSED,50.0,105.538309,105.538309,0.113453,103.026573,99.689288,106.109203,52.391106,2.439742,0.793239,-0.862127,50.70218,4.306863,2.149816,0.034536,0.044448,0.150723,FAIL
S00150,L0007,T03,150,POSITIVE,UNEXPOSED,50.0,93.53187,93.53187,-0.035291,120.444655,93.777138,106.034942,46.862624,2.354498,-0.280514,0.971986,54.493335,2.988166,2.116039,0.580461,0.024434,0.19943,FAIL
S00062,L0003,T03,62,NEGATIVE,EXPOSED,50.0,80.755941,103.533258,-0.074499,107.391092,99.684137,104.996806,53.539676,2.340265,0.188743,-0.598035,54.388332,2.752251,1.478076,0.010907,0.01489,0.027656,FAIL
S00373,L0018,T01,373,NEGATIVE,EXPOSED,50.0,73.543323,94.286311,0.08997,97.222297,97.592728,107.241242,63.182674,2.476997,0.438434,0.710738,46.839178,3.841063,1.485322,0.13668,0.072637,0.105848,FAIL
S00160,L0008,T01,160,NEGATIVE,EXPOSED,50.0,85.870032,110.089784,0.933515,120.443408,94.58876,103.843607,48.684623,2.395998,0.408304,-0.738601,54.144277,5.340213,1.523433,0.002011,0.010004,0.20225,FAIL
S00516,L0025,T02,516,POSITIVE,UNEXPOSED,50.0,107.070592,107.070592,0.011872,103.78173,100.383337,108.895986,46.691115,2.339227,0.973547,0.835118,50.163211,2.890175,1.714825,0.0475,0.034857,0.040697,PASS
S00375,L0018,T01,375,POSITIVE,UNEXPOSED,50.0,96.5546,96.5546,-0.057069,99.892827,99.117589,107.739522,55.493435,2.3647,0.88918,-0.360812,48.600742,2.733491,1.635586,0.084661,0.056785,0.040004,PASS
S00211,L0010,T01,211,POSITIVE,UNEXPOSED,50.0,97.399434,97.399434,-0.057586,120.930666,95.367504,109.509822,48.09681,2.298896,0.209636,-0.249724,49.812791,2.822273,1.178474,0.357884,0.044992,0.067967,FAIL
S00648,L0032,T02,648,POSITIVE,UNEXPOSED,50.0,103.240343,103.240343,0.181165,107.498265,99.960426,104.416567,67.473107,2.294287,-0.641765,-0.098897,50.195654,5.089848,2.538843,0.0,0.183179,0.3545,FAIL
S00689,L0034,T03,689,NEGATIVE,EXPOSED,50.0,80.452028,103.143625,-0.032794,122.79972,100.169955,103.430704,48.620007,2.379043,0.858195,-0.420075,53.901873,2.951267,1.24832,0.06484,0.014779,0.033364,FAIL
S00055,L0002,T03,55,POSITIVE,UNEXPOSED,50.0,99.360327,99.360327,-0.050352,90.675562,102.434872,111.843538,49.429855,2.398026,-0.172819,-0.284937,52.302083,2.713682,1.611237,0.088935,0.00276,0.034514,PASS
S00396,L0019,T01,396,NEGATIVE,EXPOSED,50.0,79.232872,101.580605,-0.062422,107.037885,93.81068,106.202701,51.679725,2.352295,-0.675689,0.709386,51.443814,3.610053,1.479017,0.018892,0.028653,0.058775,FAIL
S00089,L0004,T01,89,NEGATIVE,EXPOSED,50.0,75.922939,97.337102,-0.053809,90.470688,95.082835,103.091387,60.21342,2.411904,-0.991416,0.321169,46.97437,4.169482,1.472243,0.072529,0.029855,0.104473,FAIL
S00458,L0022,T03,458,NEGATIVE,EXPOSED,50.0,69.815142,89.506592,-0.058689,126.335361,100.035181,103.219416,64.784357,2.436446,-0.967978,0.259079,47.73853,3.632254,1.620292,0.419835,0.19157,0.241045,PASS
S00206,L0010,T01,206,NEGATIVE,EXPOSED,50.0,80.957683,103.791901,-0.130374,93.529193,101.042274,99.154204,47.161889,2.448486,-0.83986,0.826927,53.447913,5.412845,2.730664,0.023953,0.006089,0.355506,FAIL
S00792,L0039,T01,792,POSITIVE,UNEXPOSED,50.0,105.803159,105.803159,0.055414,103.480563,95.609093,110.741461,44.67281,2.345899,0.120722,0.151727,47.84341,2.483228,1.512902,0.086561,0.031167,0.028836,PASS
S00014,L0000,T02,14,POSITIVE,UNEXPOSED,50.0,94.170365,94.170365,0.106276,88.287499,97.101765,109.909613,47.550879,2.406069,0.148408,0.62414,51.907895,3.882866,1.201099,0.297768,0.0,0.120765,FAIL
S00773,L0038,T02,773,POSITIVE,UNEXPOSED,50.0,112.249626,112.249626,-0.001322,116.62428,95.471776,110.67949,48.229031,2.342304,-0.702513,-0.977337,49.204338,2.606853,1.46515,0.028822,0.055421,0.02822,PASS
S00234,L0011,T01,234,POSITIVE,UNEXPOSED,50.0,95.863338,95.863338,0.101116,99.637388,103.626333,110.467246,48.445253,2.478752,0.947554,-0.668596,52.11931,3.794173,1.418072,0.263129,0.012642,0.118507,FAIL
S00239,L0011,T02,239,POSITIVE,UNEXPOSED,50.0,100.598631,100.598631,-0.008471,101.794368,99.24131,105.592546,56.795508,2.506731,0.289799,-0.55338,49.623289,1.878949,2.236927,0.036567,0.051117,0.023605,PASS
S00004,L0000,T02,4,POSITIVE,UNEXPOSED,50.0,89.802269,89.802269,0.161099,74.573718,93.372304,110.934449,47.11279,2.435894,-0.822209,-0.650443,54.488207,5.046383,1.490122,0.380846,0.0,0.353283,FAIL
S00471,L0023,T01,471,NEGATIVE,EXPOSED,50.0,92.706613,118.854632,-0.11132,89.045387,97.77021,107.859919,53.554954,2.483299,-0.203388,0.405233,55.036924,3.655731,2.328428,0.0,0.005594,0.084865,FAIL
S00509,L0025,T01,509,POSITIVE,UNEXPOSED,50.0,93.774471,93.774471,-0.075039,115.742682,96.566705,108.855239,55.342744,2.292313,0.315534,-0.745571,50.650366,3.566275,1.472634,0.227756,0.081836,0.109446,FAIL
S00784,L0039,T02,784,POSITIVE,UNEXPOSED,50.0,96.788004,96.788004,0.079351,108.124861,97.700112,111.72768,52.661067,2.353569,0.841695,-0.992038,52.957351,4.149808,1.555363,0.133491,0.040747,0.127687,FAIL
S00727,L0036,T01,727,NEGATIVE,EXPOSED,50.0,89.66272,114.952205,-0.016609,111.327107,98.032661,102.607247,55.354644,2.376076,-0.984952,-0.117888,54.334754,2.912336,2.248596,0.016924,0.027871,0.049702,FAIL
S00581,L0029,T01,581,POSITIVE,UNEXPOSED,50.0,104.627588,104.627588,-0.057604,115.853609,97.795629,110.247025,47.846026,2.392083,0.153577,0.528476,48.707448,3.18138,1.164936,0.134448,0.037671,0.049057,PASS
S00164,L0008,T01,164,POSITIVE,UNEXPOSED,50.0,112.473847,112.473847,0.007746,105.69982,98.139012,110.803217,49.709769,2.452472,-0.236759,0.235349,44.376122,2.028042,1.586793,0.0,0.019033,0.015738,FAIL
S00207,L0010,T02,207,POSITIVE,UNEXPOSED,50.0,103.456063,103.456063,0.000674,125.655884,96.622045,108.126215,51.243444,2.391698,-0.026516,0.437457,51.243982,1.967556,1.400037,0.083282,0.079785,0.019745,PASS
S00630,L0031,T01,630,POSITIVE,UNEXPOSED,50.0,102.212387,102.212387,-0.022572,94.60253,97.110785,111.702693,42.747061,2.378982,0.6886,0.142732,49.041653,2.186017,1.386081,0.162515,0.0,0.024021,PASS
S00405,L0020,T03,405,POSITIVE,UNEXPOSED,50.0,102.147788,102.147788,-0.141033,117.815232,96.904669,109.310033,43.659638,2.267286,0.410342,0.28494,52.291533,4.415812,1.480293,0.274006,0.016687,0.197267,FAIL
S00507,L0025,T01,507,POSITIVE,UNEXPOSED,50.0,100.852806,100.852806,-0.102466,83.849889,100.843478,111.917271,43.595378,2.415348,0.842003,-0.721275,50.247081,4.01727,1.462092,0.141702,0.025535,0.109042,FAIL
S00406,L0020,T01,406,POSITIVE,UNEXPOSED,50.0,97.329111,97.329111,0.003687,111.158607,97.071697,109.141324,52.868481,2.348833,-0.429569,-0.76859,49.951048,1.946656,1.401357,0.14934,0.068951,0.022664,PASS
S00622,L0031,T01,622,NEGATIVE,EXPOSED,50.0,74.169514,95.08912,0.040535,91.062357,101.299855,106.976977,49.023239,2.398403,0.532239,0.011834,48.205038,2.926938,1.584193,0.095477,0.031958,0.044211,PASS
S00245,L0012,T02,245,NEGATIVE,EXPOSED,50.0,68.822532,88.234016,-0.000132,88.383165,100.89874,101.26167,52.752443,2.396655,-0.757454,0.691599,47.355126,2.269675,2.398206,0.35125,0.032896,0.078275,FAIL
S00132,L0006,T02,132,NEGATIVE,EXPOSED,50.0,78.871689,101.117551,-0.181857,94.580677,97.961453,107.106752,69.485143,2.407097,0.215649,0.901519,51.981172,5.36615,1.526394,0.014187,0.103363,0.253293,FAIL
S00311,L0015,T01,311,POSITIVE,UNEXPOSED,50.0,92.912548,92.912548,-0.050046,100.265841,96.040533,110.334356,48.972509,2.422228,0.504077,-0.388959,51.546203,2.907237,1.235365,0.370411,0.011898,0.071591,FAIL
S00244,L0012,T02,244,POSITIVE,UNEXPOSED,50.0,98.416596,98.416596,0.000676,77.978826,98.968236,110.939779,48.825202,2.420898,0.991732,-0.933103,52.572944,3.333263,1.154028,0.093454,0.0,0.045203,FAIL
S00454,L0022,T01,454,POSITIVE,UNEXPOSED,50.0,105.67541,105.67541,0.037415,107.113271,95.602891,106.114309,45.793919,2.456332,-0.870106,0.606887,46.846539,2.466115,1.950214,0.075979,0.04119,0.035727,FAIL
